City;Country;so2;co;no2;pm25;pm10;o3;AQImax
Amiens;FR;1;1;8;153;25;0;153
Amsterdam;NL;1;40;15;142;23;28;142
Augsburg;DE;1;1;20;82;19;29;82
Berlin;DE;1;1;12;155;19;28;155
Besan�on;FR;1;1;21;157;22;29;157
Bologna;IT;4;1;27;205;53;29;205
Bordeaux;FR;4;1;15;161;31;29;161
Breda;NL;0;24;15;152;24;29;152
Brescia;IT;20;1;29;204;56;32;204
Budapest;HU;4;77;19;165;26;25;165
Clermont-Ferrand;FR;1;1;22;154;19;29;154
Darmstadt;DE;1;1;8;142;14;28;142
Debrecen;HU;4;83;10;140;28;25;140
Dordrecht;NL;0;24;11;153;22;28;153
D�sseldorf;DE;13;1;19;151;23;30;151
Eindhoven;NL;0;24;13;155;22;28;155
Florence;IT;3;1;33;161;30;0;161
Freiburg;DE;1;1;12;124;12;31;124
Grenoble;FR;3;1;13;160;24;26;160
Groningen;NL;0;24;8;142;29;29;142
Gyor;HU;1;111;20;158;30;20;158
Haarlem;NL;3;32;13;142;26;28;142
Hamburg;DE;10;1;14;152;17;31;152
Hannover;DE;1;1;12;82;23;31;82
Karlsruhe;DE;1;1;16;151;16;29;151
Kassel;DE;0;1;8;155;19;29;155
Kecskem�t;HU;13;93;5;173;33;27;173
K�ln;DE;1;1;15;147;19;28;147
Lille;FR;1;1;8;165;27;0;165
Limoges;FR;1;1;16;96;29;28;96
Livorno;IT;4;1;35;154;27;0;154
Lyon;FR;17;1;20;160;26;26;160
Maastricht;NL;0;24;10;137;20;27;137
Marseille;FR;1;1;19;156;29;28;156
Metz;FR;1;1;18;158;20;30;158
Milan;IT;6;1;52;207;56;32;207
Miskolc;HU;6;84;13;192;45;25;192
Modena;IT;4;1;38;204;55;25;204
Montpellier;FR;1;1;12;155;25;30;155
Munich;DE;1;1;18;82;18;29;82
M<fc>nster;DE;1;1;15;151;19;30;151
Nancy;FR;4;1;16;154;22;27;154
Nantes;FR;1;1;10;174;28;29;174
Naples;IT;4;109;28;170;39;25;170
Nice;FR;1;1;19;149;26;26;149
Nijmegen;NL;0;24;14;151;23;28;151
N�mes;FR;1;1;20;155;31;30;155
Orl�ans;FR;1;1;9;162;25;29;162
Paris;FR;1;1;27;157;29;27;157
Parma;IT;7;1;30;203;51;27;203
P�cs;HU;6;85;15;176;37;26;176
Perpignan;FR;1;1;15;149;19;31;149
Potsdam;DE;1;1;9;153;17;32;153
Prato;IT;4;1;31;183;43;0;183
Rennes;FR;1;1;17;155;30;0;155
Rome;IT;3;1;21;162;34;24;162
Rotterdam;NL;6;24;17;147;24;28;147
Rouen;FR;3;1;24;158;27;30;158
Saint-�tienne;FR;1;1;21;142;19;27;142
Strasbourg;FR;1;1;21;96;24;27;96
Stuttgart;DE;1;1;18;152;19;30;152
Szeged;HU;13;63;8;162;34;20;162
The Hague;NL;3;24;17;137;23;28;137
Toulon;FR;1;1;20;139;25;32;139
Toulouse;FR;1;1;19;152;27;29;152
Tours;FR;1;1;15;163;31;30;163
Trieste;IT;3;8;23;171;39;0;171
Turin;IT;10;1;28;155;25;21;155
Utrecht;NL;1;24;14;153;25;28;153
Wiesbaden;DE;1;1;8;153;19;30;153
