"Code","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"Cogo",0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Satr",3,5,5,4,2,3,5,0,0,1,3,5,5,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0
"Phph",0,4,5,5,3,4,4,0,1,4,4,4,5,5,4,3,4,3,3,1,1,0,0,0,0,0,0,0,1,0
"Neba",0,3,5,5,2,5,5,0,3,4,1,4,2,4,5,5,4,3,5,2,1,1,0,0,0,1,1,1,1,0
"Thth",0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"Teso",0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0
"Chna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,1,0,1,1,1,2,1
"Chto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,2,2,2,0,0,0,0,1,1,2,2
"Lele",0,0,0,0,5,1,1,0,0,2,0,0,0,0,3,5,3,2,2,2,2,3,0,0,1,1,2,2,3,3
"Lece",0,0,0,1,2,2,1,0,5,2,1,1,0,1,3,2,2,3,1,3,2,4,1,2,1,2,3,4,4,3
"Baba",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,2,4,4,5,0,0,0,2,4,3,5,3
"Spbi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,3,2,1,0,0,0,1,1,1,3,5
"Gogo",0,0,0,1,2,1,0,0,0,1,0,0,0,1,2,2,1,2,4,4,5,5,0,1,2,3,4,4,5,5
"Eslu",0,0,1,2,4,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2,3,3,0,0,1,2,4,3,5,4
"Pefl",0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,4,0,0,0,1,1,2,4,5
"Rham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,0,0,0,2,3,4,5,5
"Legi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,1,0,2,3,4,5,3
"Scer",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,1,2,2,5
"Cyca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,0,0,0,1,2,4,3,5
"Titi",0,0,0,1,3,2,0,0,1,0,0,0,0,0,1,1,1,1,2,4,4,4,0,0,0,3,5,4,3,5
"Abbr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,0,2,3,3,4,5
"Icme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,3,4,5
"Acce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,0,2,1,4,5,5,5,5
"Ruru",0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,1,2,2,5,5,5,5,1,2,1,4,5,5,5,5
"Blbj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,0,2,4,5,4,5
"Alal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,5,5,2,5,3,5,5,5,5,5
"Anan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,2,3,4,4,5
